Place,Team,GP,W,D,L,GF,GA,GD,P,Year
1,ARS,38,26,9,3,79,36,43,87,2001
2,LIV,38,24,8,6,67,30,37,80,2001
3,MAN,38,24,5,9,87,45,42,77,2001
4,NEW,38,21,8,9,74,52,22,71,2001
5,LEE,38,18,12,8,53,37,16,66,2001
6,CHE,38,17,13,8,66,38,28,64,2001
7,WHU,38,15,8,15,48,57,-9,53,2001
8,AVL,38,12,14,12,46,47,-1,50,2001
9,TOT,38,14,8,16,49,53,-4,50,2001
10,BLK,38,12,10,16,55,51,4,46,2001
11,SOU,38,12,9,17,46,54,-8,45,2001
12,MID,38,12,9,17,35,47,-12,45,2001
13,FUL,38,10,14,14,36,44,-8,44,2001
14,CHA,38,10,14,14,38,49,-11,44,2001
15,EVE,38,11,10,17,45,57,-12,43,2001
16,BOL,38,9,13,16,44,62,-18,40,2001
17,SUN,38,10,10,18,29,51,-22,40,2001
18,IPS,38,9,9,20,41,64,-23,36,2001
19,DER,38,8,6,24,33,63,-30,30,2001
20,LEI,38,5,13,20,30,64,-34,28,2001
1,MAN,38,25,8,5,74,34,40,83,2002
2,ARS,38,23,9,6,85,42,43,78,2002
3,NEW,38,21,6,11,63,48,15,69,2002
4,CHE,38,19,10,9,68,38,30,67,2002
5,LIV,38,18,10,10,61,41,20,64,2002
6,BLK,38,16,12,10,52,43,9,60,2002
7,EVE,38,17,8,13,48,49,-1,59,2002
8,SOU,38,13,13,12,43,46,-3,52,2002
9,MNC,38,15,6,17,47,54,-7,51,2002
10,TOT,38,14,8,16,51,62,-11,50,2002
11,MID,38,13,10,15,48,44,4,49,2002
12,CHA,38,14,7,17,45,56,-11,49,2002
13,BIR,38,13,9,16,41,49,-8,48,2002
14,FUL,38,13,9,16,41,50,-9,48,2002
15,LEE,38,14,5,19,58,57,1,47,2002
16,AVL,38,12,9,17,42,47,-5,45,2002
17,BOL,38,10,14,14,41,51,-10,44,2002
18,WHU,38,10,12,16,42,59,-17,42,2002
19,WBA,38,6,8,24,29,65,-36,26,2002
20,SUN,38,4,7,27,21,65,-44,19,2002
1,ARS,38,26,12,0,73,26,47,90,2003
2,CHE,38,24,7,7,67,30,37,79,2003
3,MAN,38,23,6,9,64,35,29,75,2003
4,LIV,38,16,12,10,55,37,18,60,2003
5,NEW,38,13,17,8,52,40,12,56,2003
6,AVL,38,15,11,12,48,44,4,56,2003
7,CHA,38,14,11,13,51,51,0,53,2003
8,BOL,38,14,11,13,48,56,-8,53,2003
9,FUL,38,14,10,14,52,46,6,52,2003
10,BIR,38,12,14,12,43,48,-5,50,2003
11,MID,38,13,9,16,44,52,-8,48,2003
12,SOU,38,12,11,15,44,45,-1,47,2003
13,POR,38,12,9,17,47,54,-7,45,2003
14,TOT,38,13,6,19,47,57,-10,45,2003
15,BLK,38,12,8,18,51,59,-8,44,2003
16,MNC,38,9,14,15,55,54,1,41,2003
