home_team_attack,home_team_midfield,home_team_defense,home_team_overall,home_team_past_points,home_team_past_goal_diff,home_team_past_appearances,home_team_past_possession,home_team_past_shots,home_team_past_shots_on_goal,home_team_streak,home_team_best_perf,away_team_attack,away_team_midfield,away_team_defense,away_team_overall,away_team_past_points,away_team_past_goal_diff,away_team_past_appearances,away_team_past_possession,away_team_past_shots,away_team_past_shots_on_goal,away_team_streak,away_team_best_perf,diff_team_attack,diff_team_midfield,diff_team_defense,diff_team_overall,diff_team_past_points,diff_team_past_goal_diff,diff_team_past_appearances,diff_team_past_possession,diff_team_past_shots,diff_team_past_shots_on_goal,diff_team_streak,diff_team_best_perf
77.0,74.0,76.0,76.0,39.333333333333336,-15.333333333333334,4,48.48245614035088,11.578947368421053,3.456140350877193,4,6,90.0,81.0,80.0,82.0,64.0,21.666666666666668,20,54.35087719298246,12.491228070175438,4.605263157894737,20,19,-13.0,-7.0,-4.0,-6.0,-24.666666666666664,-37.0,-16,-5.868421052631582,-0.9122807017543852,-1.149122807017544,-16,-13
76.0,76.0,77.0,76.0,44.333333333333336,-17.333333333333332,7,41.271929824561404,9.868421052631579,3.3157894736842106,5,14,90.0,81.0,80.0,82.0,64.0,21.666666666666668,20,54.35087719298246,12.491228070175438,4.605263157894737,20,19,-14.0,-5.0,-3.0,-6.0,-19.666666666666664,-39.0,-13,-13.078947368421055,-2.6228070175438596,-1.2894736842105265,-15,-5
84.0,85.0,82.0,83.0,68.33333333333333,20.333333333333332,20,61.824561403508774,15.631578947368421,5.508771929824562,20,20,83.0,79.0,77.0,79.0,62.333333333333336,15.333333333333334,20,55.28947368421053,11.596491228070175,4.131578947368421,20,20,1.0,6.0,5.0,4.0,5.999999999999993,4.999999999999998,0,6.535087719298247,4.035087719298247,1.3771929824561404,0,0
76.0,76.0,77.0,76.0,44.333333333333336,-17.333333333333332,7,41.271929824561404,9.868421052631579,3.3157894736842106,5,14,75.0,76.0,74.0,75.0,42.0,-17.5,6,44.56578947368421,11.328947368421053,3.6052631578947367,0,10,1.0,0.0,3.0,1.0,2.3333333333333357,0.16666666666666785,1,-3.2938596491228083,-1.4605263157894743,-0.2894736842105261,5,4
85.0,84.0,83.0,84.0,68.66666666666667,23.333333333333332,20,55.57017543859649,13.956140350877194,5.719298245614035,20,20,77.0,74.0,76.0,76.0,39.333333333333336,-15.333333333333334,4,48.48245614035088,11.578947368421053,3.456140350877193,4,6,8.0,10.0,7.0,8.0,29.333333333333336,38.666666666666664,16,7.0877192982456165,2.3771929824561404,2.263157894736842,16,14
75.0,76.0,74.0,75.0,42.0,-17.5,6,44.56578947368421,11.328947368421053,3.6052631578947367,0,10,77.0,76.0,74.0,76.0,45.333333333333336,-15.333333333333334,9,43.26315789473684,10.657894736842104,3.508771929824561,8,11,-2.0,0.0,0.0,-1.0,-3.3333333333333357,-2.166666666666666,-3,1.30263157894737,0.6710526315789487,0.09649122807017552,-8,-1
79.0,76.0,77.0,78.0,45.0,-8.5,17,46.01315789473684,12.855263157894736,4.421052631578948,2,15,76.0,76.0,77.0,76.0,44.333333333333336,-17.333333333333332,7,41.271929824561404,9.868421052631579,3.3157894736842106,5,14,3.0,0.0,0.0,2.0,0.6666666666666643,8.833333333333332,10,4.741228070175438,2.9868421052631575,1.1052631578947372,-3,1
86.0,83.0,85.0,84.0,88.33333333333333,48.333333333333336,20,62.675438596491226,15.56140350877193,5.885964912280702,20,20,78.0,78.0,75.0,76.0,59.0,8.0,4,57.55263157894737,13.736842105263158,5.2368421052631575,1,16,8.0,5.0,10.0,8.0,29.33333333333333,40.333333333333336,16,5.122807017543856,1.8245614035087723,0.6491228070175445,19,4
78.0,81.0,77.0,78.0,53.666666666666664,-1.3333333333333333,7,48.08771929824562,12.289473684210526,3.982456140350877,3,14,75.0,76.0,74.0,75.0,42.0,-17.5,6,44.56578947368421,11.328947368421053,3.6052631578947367,0,10,3.0,5.0,3.0,3.0,11.666666666666664,16.166666666666668,1,3.521929824561404,0.9605263157894726,0.3771929824561404,3,4
76.0,76.0,77.0,76.0,44.333333333333336,-17.333333333333332,7,41.271929824561404,9.868421052631579,3.3157894736842106,5,14,79.0,78.0,79.0,79.0,54.0,-1.6666666666666667,20,49.13157894736842,11.991228070175438,4.201754385964913,20,17,-3.0,-2.0,-2.0,-3.0,-9.666666666666664,-15.666666666666666,-13,-7.8596491228070136,-2.1228070175438596,-0.8859649122807021,-15,-3
83.0,79.0,77.0,79.0,62.333333333333336,15.333333333333334,20,55.28947368421053,11.596491228070175,4.131578947368421,20,20,86.0,83.0,85.0,84.0,88.33333333333333,48.333333333333336,20,62.675438596491226,15.56140350877193,5.885964912280702,20,20,-3.0,-4.0,-8.0,-5.0,-25.999999999999993,-33.0,0,-7.3859649122806985,-3.964912280701755,-1.7543859649122808,0,0
78.0,78.0,75.0,76.0,59.0,8.0,4,57.55263157894737,13.736842105263158,5.2368421052631575,1,16,79.0,76.0,77.0,78.0,45.0,-8.5,17,46.01315789473684,12.855263157894736,4.421052631578948,2,15,-1.0,2.0,-2.0,-2.0,14.0,16.5,-13,11.539473684210527,0.8815789473684212,0.8157894736842097,-1,1
