Manager,Ranking
Z. Zidane,17148
Ernesto Valverde,15289
Renato Gaúcho,15288
M. Gallardo,12691
D. Simeone,12641
A. Holan,12036
M. Allegri,11975
J. Klopp,11104
J. Heynckes,10872
Guardiola,10367
José Mourinho,10028
Guillermo Barros Schelotto,9848
M. Pochettino,9298
M. Sarri,9269
E. Di Francesco,9111
Jair Ventura,8982
Fábio Carille,8870
S. Inzaghi,8818
A. Wenger,8779
V. Montella,8718
Unai Emery,8697
R. Garcia,8519
A. Conte,7919
V. Goncharenko,7834
J. Almirón,7818
Jorge Jesus,7719
Marcelino,7644
Ricardo Ferretti,7441
Mano Menezes,7356
R. Zielinski,7350
Paulo Fonseca,7324
B. Génésio,7285
G. Gasperini,7027
M. Rose,6900
Zé Ricardo,6873
R. Hasenhüttl,6815
José Ángel Ziganda,6801
D. Cocca,6718
M. Herrera,6564
E. Coudet,6524
Choi Kang-Hee,6460
Abel Ferreira,6332
R. Rueda,6327
A. Khatskevich,6320
F. Kudelka,6236
S. Rebrov,6157
Sérgio Conceição,6103
Y. Semin,6028
G. Alfaro,5987
D. Tedesco,5975
Levir Culpi,5969
A. Mohamed,5897
Kim Do-Hoon,5756
S. Güneş,5680
E. Domínguez,5639
M. Carrera,5609
Leonardo Jardim,5591
R. Mancini,5545
L. Spalletti,5504
Abel Braga,5479
Seo Jung-Won,5458
R. Díaz,5377
L. Madelón,5364
H. Herrlich,5311
Quique Setién,5292
N. Kovač,5269
L. Bernardi,5268
J. Vojvoda,5228
J. Nagelsmann,5213
A. Berti,5113
José Bordalás,5096
Roger Machado,5077
M. Almeyda,5076
R. Wicky,5009
Abelardo,4900
O. De Felippe,4884
Asier Garitano,4851
P. Stöger,4841
Cho Sung-Hwan,4805
A. Avci,4752
R. Cristante,4718
Quique Sánchez Flores,4704
Pablo Machín,4704
Cuca,4690
P. Vrba,4682
Unzué,4655
J. Comesaña,4637
Mendilibar,4606
Vágner Mancini,4599
Gilson Kleina,4568
Rui Vitória,4459
B. Rodgers,4407
D. Aguirre,4379
G. Gattuso,4333
G. Potter,4291
Eusebio Sacristán,4285
S. Avgousti,4278
R. Hernández,4276
F. Cannavaro,4242
P. Lavallén,4241
Fernando Jubero,4235
S. Pioli,4200
P. Dárdai,4193
D. Garnero,4186
L. Favre,4181
J. Pumpido,4117
N. Gorosito,4116
D. Hecking,3984
E. Berizzo,3948
Claudinei Oliveira,3927
D. Alonso,3906
I. Leko,3867
G. Pérez,3864
Dorival Júnior,3858
J. Falcioni,3857
Manolo Jiménez,3847
A. Hütter,3821
M. Giampaolo,3818
A. Bobadilla,3795
A. Kocaman,3717
S. Dyche,3695
Y. Vernydub,3562
J. Marsch,3501
M. Baum,3486
G. Vanney,3458
L. Fernández,3457
F. Kohfeldt,3444
Imanol Idiakez,3428
Vanderlei Luxemburgo,3413
André Villas-Boas,3397
I. Ambriz,3394
R. Siboldi,3391
J. Sierra,3382
Paco Jémez,3364
S. Schwarz,3361
G. van Bronckhorst,3327
G. Donis,3323
Sá Pinto,3255
V. Rašović,3241
T. Oniki,3240
A. Breitenreiter,3237
N. Dică,3204
I. Shalimov,3177
Hwang Sun-Hong,3172
G. Díaz,3170
Fabiano Soares,3132
C. Streich,3124
Choi Soon-Ho,3111
V. Milojević,3110
S. Solbakken,3082
R. Hodgson,3078
C. Puel,3042
M. Der Zakarian,3020
E. Howe,3010
J. van den Brom,3003
G. Heinze,2994
S. Semak,2989
E. ten Hag,2982
L. Ramos,2974
J. Thorup,2957
V. Sachko,2925
V. Sharan,2908
G. Oiwa,2891
P. Cocu,2881
C. Hughton,2881
H. Vanhaezebrouck,2873
P. Montero,2870
Rafael Benítez,2865
R. Donadoni,2859
K. Ingebrigtsen,2839
T. Korkut,2822
Daniel Ramos,2809
G. Almada,2802
Yoon Jung-Hwan,2779
Kim Tae-Wan,2776
D. Petrescu,2714
S. Moulin,2705
João Paulo Sanches,2697
B. Ivanković,2696
S. Allardyce,2694
M. Larriera,2681
A. Zorniger,2664
P. Clement,2660
Eduardo Baptista,2654
M. Pellegrino,2653
M. Russo,2651
D. Dimitrov,2648
T. Hori,2636
Luís Castro,2630
D. Mangia,2627
O. Buruk,2594
O. Dall’Oglio,2581
D. Wagner,2581
M. Şumudică,2578
Bruno Baltazar,2573
S. Lamouchi,2570
F. Mazzù,2557
B. Schmetzer,2539
H. Grondona,2518
C. Pélissier,2517
M. Božović,2508
J. Šilhavý,2507
J. Cruijff,2506
Juan Muñiz,2499
J. Llop,2495
A. Kombouare,2479
H. Bodhert,2478
D. Belmadi,2468
R. Çalımbay,2452
A. Gamero,2451
Y. Vanderhaeghe,2445
C. Ranieri,2438
F. Terim,2437
P. Garande,2407
D. Ballardini,2390
L. Semplici,2387
F. Al Jabal,2385
D. McInnes,2383
André Gaspar,2379
F. Dury,2379
G. Esmerado,2371
R. Puente,2359
D. Stojković,2358
D. Corredor,2357
D. Moyes,2343
Hossam El Badry,2339
Ismael Rescalvo,2333
D. Parfenov,2330
G. Costas,2325
Vítor Pereira,2312
R. Norling,2302
L. Zubeldía,2301
G. Hagi,2289
K. Berdyev,2271
José Gomes,2253
T. Laurey,2252
S. Beccacece,2244
Luiz Felipe Scolari,2244
M. Hughes,2241
R. Sanzhar,2232
L. Ammouta,2227
Carpegiani,2213
D. Patiño,2213
A. Tarkhanov,2212
E. Meza,2211
S. Mihajlović,2209
R. Levy,2202
R. Torres,2196
S. Aybaba,2193
N. Craviotto,2187
G. Iachini,2184
R. Maran,2180
C. Enache,2162
P. Bosz,2160
R. Lucescu,2151
M. Pellegrini,2149
N. Bjelica,2138
Lee Ki-Hyung,2135
L. Suárez,2133
G. Arnold,2131
Pedro Martins,2127
J. Trpišovský,2120
K. Muscat,2118
H. Fraser,2113
Pepa,2113
Alberto Valentim,2098
Oswaldo de Oliveira,2096
P. Tami,2095
Marcelo Oliveira,2088
Milton Mendes,2088
I. Tudor,2075
K. Özdeş,2070
Chen Jingang,2051
L. Álvarez,2050
D. López,2048
Paulo Sousa,2034
M. Schmidt,2033
E. Iordănescu,2029
Jorge Simão,2000
C. Ledesma,1997
H. Torres,1996
R. Forestello,1996
S. Méndez,1996
R. Bedoya,1995
R. Monarev,1988
C. Ayala,1975
G. Djuricin,1974
Vítor Oliveira,1948
B. Barak,1947
Wu Jingui,1934
M. Pehrsson,1929
M. Kek,1923
R. Schmidt,1911
L. Nilsen,1898
T. Shimotaira,1898
F. Stoican,1893
T. Fink,1886
S. Stoilov,1886
F. Torres,1849
Carlos Carvalhal,1845
J. Cruz,1843
Óscar García,1841
C. Ancelotti,1829
D. Carreño,1823
G. Poyet,1810
V. Jílek,1806
José Couceiro,1804
A. Mendoza,1800
D. Khokhlov,1792
O. Melkemichel,1783
O. Solskjær,1783
K. Hjulmand,1783
M. Đukić,1781
W. Mazzarri,1775
E. Acevedo,1775
Pedro Caixinha,1774
D. Nielsen,1767
G. De Boeck,1764
M. Panait,1756
Nuno Santos,1755
J. Garcia,1749
N. Vivas,1749
W. Coyette,1747
R. Caruso Lombardi,1747
Maurício Barbieri,1745
H. ten Cate,1744
M. Ouzounidis,1743
Vinícius Eutrópio,1737
I. Mamrot,1735
F. Pecchia,1707
Marco Silva,1707
P. Vermes,1703
L. Tena,1697
J. Gasset,1696
G. Quinteros,1691
