diff_past_results,diff_past_goals,result,home_team_attack,home_team_midfield,home_team_defense,home_team_overall,home_team_past_points,home_team_past_goal_diff,home_team_past_appearances,home_team_past_possession,home_team_past_shots,home_team_past_shots_on_goal,home_team_streak,home_team_best_perf,away_team_attack,away_team_midfield,away_team_defense,away_team_overall,away_team_past_points,away_team_past_goal_diff,away_team_past_appearances,away_team_past_possession,away_team_past_shots,away_team_past_shots_on_goal,away_team_streak,away_team_best_perf,home_goalkeeper,away_goalkeeper,home_manager_overall,away_manager_overall,home_players_overall_mean,away_players_overall_mean,home_players_defense_mean,away_players_defense_mean,home_players_midfield_mean,away_players_midfield_mean,home_players_attack_mean,away_players_attack_mean,diff_team_attack,diff_team_midfield,diff_team_defense,diff_team_overall,diff_manager,diff_players_overall,diff_players_defense,diff_players_midfield,diff_players_attack,diff_goalkeepers,diff_team_past_points,diff_team_past_goal_diff,diff_team_past_appearances,diff_team_past_possession,diff_team_past_shots,diff_team_past_shots_on_goal,diff_team_streak,diff_team_best_perf
3,9,away_win,74.0,75.0,73.0,74.0,43.25,-17.5,11,44.79824561403509,12.37719298245614,3.8859649122807016,10,15,77.0,73.0,73.0,74.0,39.0,-22.0,3,48.93421052631579,11.68421052631579,3.3552631578947367,2,6,67,77,3200.0,4200.0,72.8,71.2,64.0,70.50000000000001,65.84,63.18000000000001,63.4909090909091,56.0,-3.0,2.0,0.0,0.0,-1000.0,1.5999999999999943,-6.500000000000014,2.6599999999999966,7.490909090909099,-10,4.25,4.5,8,-4.1359649122806985,0.692982456140351,0.5307017543859649,8,9
0,0,draw,80.0,76.0,74.0,76.0,49.333333333333336,1.3333333333333333,10,50.37719298245614,13.342105263157896,4.078947368421052,10,14,76.0,75.0,75.0,76.0,58.0,2.6666666666666665,10,47.10526315789474,12.93859649122807,4.228070175438597,10,15,80,82,2737.0,4150.0,76.9,72.0,66.07142857142858,63.9142857142857,65.6,61.370000000000005,63.06363636363636,61.209090909090904,4.0,1.0,-1.0,0.0,-1413.0,4.900000000000006,2.157142857142887,4.22999999999999,1.854545454545459,-2,-8.666666666666664,-1.3333333333333333,0,3.271929824561397,0.40350877192982537,-0.14912280701754455,0,-1
5,10,draw,81.0,79.0,80.0,80.0,69.0,30.333333333333332,10,56.89473684210526,17.19298245614035,5.421052631578948,10,19,78.0,75.0,74.0,75.0,42.333333333333336,-13.0,7,47.1140350877193,12.710526315789474,4.008771929824562,4,11,85,74,6036.0,3800.0,79.3,75.8,70.42857142857143,70.32857142857144,69.87,69.72000000000001,64.11818181818181,65.19090909090909,3.0,4.0,6.0,5.0,2236.0,3.5,0.09999999999999432,0.14999999999999147,-1.0727272727272776,11,26.666666666666664,43.33333333333333,3,9.780701754385959,4.482456140350875,1.4122807017543861,6,8
0,0,away_win,79.0,76.0,75.0,75.0,0.0,-69.0,0,0.0,0.0,0.0,0,0,72.0,74.0,72.0,74.0,42.0,-13.666666666666666,10,43.18421052631579,14.175438596491228,4.298245614035087,10,15,76,77,1600.0,4100.0,70.1,74.0,62.07142857142857,66.92857142857143,61.29,63.65999999999999,56.009090909090915,58.89090909090909,7.0,2.0,3.0,1.0,-2500.0,-3.9000000000000057,-4.857142857142861,-2.3699999999999903,-2.8818181818181756,-1,-42.0,-55.333333333333336,-10,-43.18421052631579,-14.175438596491228,-4.298245614035087,-10,-15
0,0,draw,71.0,71.0,73.0,72.0,41.0,-24.666666666666668,6,49.64035087719298,14.526315789473685,4.447368421052632,6,11,74.0,71.0,69.0,71.0,0.0,-69.0,1,0.0,0.0,0.0,0,2,77,74,1129.0,1600.0,71.1,70.8,66.2,62.92857142857143,63.660000000000004,63.0,57.45454545454545,58.8909090909091,-3.0,0.0,4.0,1.0,-471.0,0.29999999999999716,3.2714285714285722,0.6600000000000037,-1.4363636363636445,3,41.0,44.33333333333333,5,49.64035087719298,14.526315789473685,4.447368421052632,6,9
-2,-4,draw,81.0,78.0,76.0,77.0,40.0,-10.0,9,49.71052631578947,12.513157894736842,3.8552631578947367,1,18,84.0,80.0,81.0,81.0,71.66666666666667,34.0,10,59.62280701754386,17.333333333333332,6.06140350877193,10,20,78,80,5300.0,10195.0,76.3,81.1,69.87142857142858,65.88571428571429,67.03999999999999,73.28,64.25454545454545,68.0909090909091,-3.0,-2.0,-5.0,-4.0,-4895.0,-4.799999999999997,3.9857142857142946,-6.240000000000009,-3.836363636363643,-2,-31.66666666666667,-44.0,-1,-9.91228070175439,-4.82017543859649,-2.206140350877193,-9,-2
-2,-3,draw,76.0,75.0,75.0,76.0,46.0,-11.0,3,38.75438596491228,10.947368421052632,3.1228070175438596,3,10,84.0,81.0,82.0,82.0,80.0,50.333333333333336,10,59.85964912280702,20.842105263157894,6.842105263157895,10,20,76,84,7271.0,10896.0,76.0,80.8,68.27142857142857,67.32857142857145,64.83000000000001,71.38,60.490909090909085,69.4090909090909,-8.0,-6.0,-7.0,-6.0,-3625.0,-4.799999999999997,0.9428571428571217,-6.549999999999983,-8.918181818181822,-8,-34.0,-61.333333333333336,-7,-21.10526315789474,-9.894736842105262,-3.719298245614035,-7,-10
-5,-12,away_win,76.0,73.0,72.0,73.0,39.5,-23.0,5,49.31578947368421,15.210526315789474,4.592105263157895,1,10,84.0,83.0,80.0,82.0,85.0,47.666666666666664,10,57.86842105263158,17.789473684210527,5.815789473684211,10,20,78,78,4324.0,14268.0,72.9,81.0,67.18571428571428,63.771428571428565,65.17999999999999,67.97999999999999,62.45454545454545,64.76363636363637,-8.0,-10.0,-8.0,-9.0,-9944.0,-8.099999999999994,3.414285714285718,-2.799999999999997,-2.309090909090912,0,-45.5,-70.66666666666666,-5,-8.55263157894737,-2.578947368421053,-1.223684210526316,-9,-10
0,0,home_win,83.0,85.0,81.0,83.0,62.666666666666664,21.0,9,52.833333333333336,14.421052631578947,5.026315789473684,9,18,74.0,73.0,71.0,73.0,0.0,-69.0,0,0.0,0.0,0.0,0,0,83,81,11814.0,1400.0,80.1,71.9,71.48571428571428,64.17142857142858,71.36,65.03,64.11818181818182,57.4,9.0,12.0,10.0,10.0,10414.0,8.199999999999989,7.3142857142857025,6.329999999999998,6.718181818181826,2,62.666666666666664,90.0,9,52.833333333333336,14.421052631578947,5.026315789473684,9,18
-2,-4,away_win,78.0,75.0,74.0,75.0,42.333333333333336,-13.0,7,47.1140350877193,12.710526315789474,4.008771929824562,4,11,81.0,78.0,76.0,77.0,40.0,-10.0,9,49.71052631578947,12.513157894736842,3.8552631578947367,1,18,74,78,3800.0,5300.0,75.8,75.1,70.32857142857144,68.72857142857143,69.72000000000001,67.00999999999999,65.19090909090909,62.46363636363636,-3.0,-3.0,-2.0,-2.0,-1500.0,0.7000000000000028,1.6000000000000085,2.710000000000022,2.7272727272727266,-4,2.3333333333333357,-3.0,-2,-2.596491228070171,0.19736842105263186,0.15350877192982493,3,-7
