home_team,away_team,preds,home_win_prob,draw_prob,away_win_prob,true_labels
Brentford,Arsenal,away_win,33.21,28.25,38.53,home_win
Manchester United,Leeds United,home_win,53.28,24.36,22.36,home_win
Burnley,Brighton & Hove Albion,home_win,41.37,28.82,29.8,away_win
Chelsea,Crystal Palace,home_win,54.2,23.61,22.19,home_win
Everton,Southampton,home_win,46.96,29.32,23.72,home_win
Leicester City,Wolverhampton Wanderers,home_win,43.7,31.37,24.93,home_win
Watford,Aston Villa,away_win,31.51,28.78,39.71,home_win
Norwich City,Liverpool,away_win,24.53,24.41,51.06,away_win
Newcastle United,West Ham United,away_win,31.48,29.66,38.87,away_win
Tottenham Hotspur,Manchester City,away_win,31.06,24.81,44.13,home_win
Liverpool,Burnley,home_win,56.27,21.21,22.52,home_win
Aston Villa,Newcastle United,home_win,39.86,30.56,29.58,home_win
Crystal Palace,Brentford,home_win,40.96,30.15,28.9,draw
Leeds United,Everton,away_win,34.16,30.82,35.03,draw
Manchester City,Norwich City,home_win,55.4,22.95,21.65,home_win
Brighton & Hove Albion,Watford,home_win,38.53,31.35,30.13,home_win
Southampton,Manchester United,away_win,24.79,25.46,49.75,draw
Wolverhampton Wanderers,Tottenham Hotspur,away_win,30.67,30.22,39.11,away_win
Arsenal,Chelsea,away_win,29.93,29.2,40.86,away_win
West Ham United,Leicester City,home_win,35.05,31.09,33.85,home_win
Manchester City,Arsenal,home_win,53.42,22.38,24.2,home_win
Aston Villa,Brentford,home_win,43.25,30.21,26.54,draw
Brighton & Hove Albion,Everton,away_win,31.6,31.08,37.32,away_win
Newcastle United,Southampton,home_win,38.36,29.87,31.77,draw
Norwich City,Leicester City,away_win,26.14,27.75,46.11,away_win
West Ham United,Crystal Palace,home_win,44.35,30.67,24.99,draw
Liverpool,Chelsea,home_win,43.84,29.09,27.07,draw
Burnley,Leeds United,home_win,37.61,30.07,32.32,draw
Tottenham Hotspur,Watford,home_win,53.6,23.83,22.57,home_win
Wolverhampton Wanderers,Manchester United,away_win,27.52,28.8,43.68,away_win
Crystal Palace,Tottenham Hotspur,away_win,27.76,29.42,42.82,home_win
Arsenal,Norwich City,home_win,45.81,28.62,25.56,home_win
Brentford,Brighton & Hove Albion,away_win,34.36,29.13,36.51,away_win
Leicester City,Manchester City,away_win,28.42,27.69,43.89,away_win
Manchester United,Newcastle United,home_win,54.17,23.62,22.21,home_win
Southampton,West Ham United,away_win,29.96,30.39,39.65,draw
Watford,Wolverhampton Wanderers,away_win,29.59,27.8,42.61,away_win
Chelsea,Aston Villa,home_win,50.63,27.18,22.19,home_win
Leeds United,Liverpool,away_win,25.99,25.63,48.38,away_win
Everton,Burnley,home_win,41.43,28.9,29.67,home_win
Newcastle United,Leeds United,home_win,36.83,30.78,32.39,draw
Wolverhampton Wanderers,Brentford,home_win,49.29,26.37,24.33,away_win
Burnley,Arsenal,away_win,32.96,28.55,38.49,away_win
Liverpool,Crystal Palace,home_win,56.27,21.21,22.52,home_win
Manchester City,Southampton,home_win,56.13,21.93,21.94,draw
Norwich City,Watford,home_win,37.44,30.61,31.95,away_win
Aston Villa,Everton,home_win,35.65,30.65,33.71,home_win
Brighton & Hove Albion,Leicester City,away_win,26.96,29.34,43.7,home_win
West Ham United,Manchester United,away_win,26.86,29.84,43.3,away_win
Tottenham Hotspur,Chelsea,home_win,36.35,27.47,36.18,away_win
Chelsea,Manchester City,away_win,32.12,29.3,38.58,away_win
Manchester United,Aston Villa,home_win,53.37,24.23,22.4,away_win
Everton,Norwich City,home_win,47.55,27.52,24.92,home_win
Leeds United,West Ham United,away_win,29.96,30.39,39.65,away_win
Leicester City,Burnley,home_win,46.23,27.64,26.13,draw
Watford,Newcastle United,home_win,39.53,30.24,30.22,draw
Brentford,Liverpool,away_win,25.32,24.44,50.25,draw
Southampton,Wolverhampton Wanderers,away_win,34.12,30.67,35.21,away_win
Arsenal,Tottenham Hotspur,away_win,32.1,29.31,38.6,home_win
Crystal Palace,Brighton & Hove Albion,home_win,39.08,29.59,31.32,draw
Manchester United,Everton,home_win,48.75,27.08,24.17,draw
Burnley,Norwich City,home_win,40.66,29.99,29.34,draw
Chelsea,Southampton,home_win,54.2,23.61,22.19,home_win
Leeds United,Watford,home_win,42.57,31.4,26.03,home_win
Wolverhampton Wanderers,Newcastle United,home_win,46.33,28.23,25.44,home_win
Brighton & Hove Albion,Arsenal,away_win,32.4,28.58,39.01,draw
Crystal Palace,Leicester City,away_win,28.22,29.56,42.21,draw
Tottenham Hotspur,Aston Villa,home_win,50.72,26.0,23.28,home_win
West Ham United,Brentford,home_win,52.86,24.56,22.58,away_win
Liverpool,Manchester City,home_win,36.47,27.25,36.28,draw
Watford,Liverpool,away_win,24.53,24.41,51.06,away_win
Aston Villa,Wolverhampton Wanderers,home_win,37.28,30.82,31.9,away_win
Leicester City,Manchester United,away_win,31.5,29.44,39.07,home_win
Manchester City,Burnley,home_win,55.34,22.51,22.14,home_win
Norwich City,Brighton & Hove Albion,home_win,37.0,29.78,33.22,draw
Southampton,Leeds United,home_win,36.77,30.11,33.12,home_win
Brentford,Chelsea,away_win,25.9,26.57,47.53,away_win
Everton,West Ham United,home_win,35.89,29.38,34.73,away_win
Newcastle United,Tottenham Hotspur,away_win,26.19,26.81,47.0,away_win
Arsenal,Crystal Palace,home_win,45.17,30.37,24.46,draw
Arsenal,Aston Villa,home_win,38.18,28.08,33.74,home_win
Chelsea,Norwich City,home_win,55.4,22.95,21.65,home_win
Crystal Palace,Newcastle United,home_win,39.53,30.24,30.22,draw
Everton,Watford,home_win,43.08,29.29,27.63,away_win
Leeds United,Wolverhampton Wanderers,home_win,35.91,30.15,33.94,draw
Southampton,Burnley,home_win,36.58,31.6,31.82,draw
