Manager,Ranking
C. Ancelotti,17731
G. Martino,17401
D. Simeone,17308
Guardiola,16134
Jorge Jesus,12374
A. Wenger,11976
José Mourinho,11771
J. Klopp,11629
A. Conte,11534
L. Blanc,11304
L. Blanc,11304
M. Pellegrini,11008
Rafael Benítez,10866
Unai Emery,10572
Marcelo Oliveira,10436
Enderson Moreira,9646
Yong-Soo Choi,9571
Guillermo Barros Schelotto,9396
M. Lippi,9101
D. Moyes,8872
Cuca,8745
J. Keller,8709
Pizzi,8672
J. Cardozo,8632
Sami Al Jaber,8588
R. Garde,8391
B. Rodgers,8222
Arrasate,8112
Ernesto Valverde,7948
G. Matosas,7894
Tite,7778
Vágner Mancini,7700
M. Lucescu,7661
R. Garcia,7317
Roberto Martínez,7313
S. Hyypiä,7164
Pedro Caixinha,7154
Kang-Hee Choi,7122
M. Yakin,7074
D. Hecking,6974
Oswaldo de Oliveira,6950
Renato Gaúcho,6750
André Villas-Boas,6657
Juande Ramos,6616
A. Veh,6554
J. Osorio,6459
Míchel,6438
R. Schmidt,6402
D. Carreño,6393
H. Moriyasu,6251
Vítor Pereira,6191
Claudinei Oliveira,6050
Mohamed Youssef,6025
Marco Silva,6024
Cristóvão Borges,6016
Y. Kazama,5962
F. de Boer,5961
Jaime de Almeida,5918
C. Ranieri,5897
S. Stoev,5836
Leonardo Jardim,5695
L. Spalletti,5600
L. Favre,5555
M. Weinzierl,5551
O. Blokhin,5518
T. Tuchel,5453
Marcelino,5450
Joaquín Caparrós,5400
Paulo Fonseca,5390
R. Grigorchuk,5347
L. Slutsky,5203
Kyung-Hoon Park,5161
M. Gisdol,5150
Paco Jémez,5148
H. Stevens,5124
G. Alfaro,5061
J. Almirón,5013
Sun-Hong Hwang,5012
Sun-Hong Hwang,5012
Dorival Júnior,4950
P. Cocu,4919
Ney Franco,4900
Luis Enrique,4900
F. Gillot,4897
C. Galtier,4893
Muricy Ramalho,4872
Y. Higuchi,4871
L. Tena,4850
M. Herrera,4815
R. Díaz,4778
Nélson Baptista,4725
M. Hughes,4713
R. Popović,4693
W. Gutiérrez,4686
C. Bianchi,4682
T. Sherwood,4678
J. Aguirre,4650
M. Preud'homme,4649
F. Guidolin,4632
A. Pardew,4621
P. Montanier,4585
M. Pellegrino,4563
Guto Ferreira,4500
Lucas Alcaraz,4498
K. Berdyev,4485
S. Bruce,4477
Paulo Sousa,4465
F. Dury,4447
A. Souayah,4440
Jorginho,4426
W. Mazzarri,4380
C. Streich,4333
S. Bueno,4320
Ricardo Ferretti,4320
D. Advocaat,4294
Seong-Hyo Yoon,4281
Sun-Hong Hwang,4273
Sun-Hong Hwang,4273
R. Mancini,4244
I. Ambriz,4230
R. Donadoni,4228
L. Kuchuk,4224
B. Schuster,4200
Pepe Mel,4195
G. Ventura,4159
J. Luhukay,4141
G. Vázquez,4140
C. Christoforou,4137
G. Luzon,4072
Ó. Ramírez,4054
Francisco,4050
Dunga,4050
M. Jansen,4042
Ho-Gon Kim,4032
J. Gourvennec,4022
Marquinhos Santos,4000
Fran Escribá,4000
Juan Ignacio Martínez,3999
Nuno Espírito Santo,3976
Vanderlei Luxemburgo,3950
A. Mandorlini,3942
R. Dutt,3939
M. Been,3914
J. Šilhavý,3897
R. Koeman,3884
Jung-Won Seo,3883
N. Lennon,3882
E. Bauza,3848
L. Reghecampf,3845
M. Der Zakarian,3820
Manuel Machado,3819
G. Paraschos,3794
C. Contra,3789
S. Allardyce,3788
Rui Vitória,3769
Jung-Hwan Yoon,3768
M. Laudrup,3758
G. Morínigo,3755
