Manager,Ranking
Ernesto Valverde,15883
M. Gallardo,12324
Guardiola,12235
J. Klopp,11604
D. Simeone,11197
Marcelino,11045
Mano Menezes,10710
M. Allegri,10300
M. Sarri,10214
Unai Emery,10004
Luiz Felipe Scolari,9921
Renato Gaúcho,9899
N. Kovač,9557
D. Alonso,9531
M. Pochettino,9321
E. ten Hag,9228
Tiago Nunes,9217
Ricardo Ferretti,8813
Pablo Machín,8804
C. Ancelotti,8737
A. Hütter,8725
Sérgio Conceição,8265
G. Alfaro,8127
S. Beccacece,8091
T. Tuchel,8034
Rui Vitória,7991
S. Solari,7935
L. Spalletti,7727
E. Coudet,7487
R. Rangnick,7345
Guillermo Barros Schelotto,7321
Odair Hellmann,7203
José Bordalás,7077
Quique Setién,7050
Kim Do-Hoon,6926
M. Herrera,6859
L. Favre,6764
Pedro Caixinha,6758
G. Oiwa,6578
Javi Calleja,6534
G. Gasperini,6462
S. Inzaghi,6444
André Gaspar,6433
M. Rose,6306
R. Schmidt,6281
S. Semak,6241
B. Génésio,6210
P. Clement,6092
E. Di Francesco,6014
R. Zielinski,6006
G. Gattuso,5966
O. Solskjær,5953
Vítor Pereira,5944
Li Xiaopeng,5879
M. Musaev,5787
A. Holan,5766
Pedro Emanuel,5749
J. Trpišovský,5708
Rubí,5693
A. Khatskevich,5687
S. Reyes,5659
Enderson Moreira,5503
J. Comesaña,5442
F. Cannavaro,5353
Maurício Barbieri,5266
G. Heinze,5140
A. Gamero,5133
L. Zubeldía,5119
Paco López,4994
I. Ambriz,4912
Paulo Fonseca,4910
M. Pellegrino,4901
D. Dabove,4839
W. Mazzarri,4805
Y. Semin,4783
D. Garnero,4762
J. Vojvoda,4706
M. Lasarte,4704
L. Madelón,4691
B. Rodgers,4677
B. Labbadia,4661
Abelardo,4653
Mendilibar,4652
Choi Kang-Hee,4651
P. Mosimane,4640
J. Almirón,4639
D. Aguirre,4611
Gaizka Garitano,4604
Fernando Jubero,4564
Nuno Espírito Santo,4530
Bruno Lage,4474
R. Lucescu,4433
Pedro Martins,4418
Javi Gracia,4414
V. Goncharenko,4392
J. Stéphan,4379
J. Nagelsmann,4378
F. Kohfeldt,4328
Cuca,4306
E. Bauza,4304
M. Şumudică,4293
P. Vrba,4265
Sergio,4207
F. Terim,4161
D. Hecking,4141
Jong-Boo Kim,4141
G. Álvarez,4138
Zé Ricardo,4101
I. Leko,4082
S. Solbakken,4031
C. Galtier,3996
D. Tedesco,3993
R. Hodgson,3987
J. Thorup,3962
